iter	RMSE
0	0.3737521466
1	0.3666277266
2	0.3605714585
3	0.3550770494
4	0.349708355
5	0.3443552508
6	0.3391665669
7	0.3337145985
8	0.3287381611
9	0.3241818417
10	0.3193411445
11	0.3149948025
12	0.3105497463
13	0.3066972439
14	0.3023153468
15	0.2986603703
16	0.2948624675
17	0.2910474237
18	0.288147403
19	0.2844322012
20	0.2808772921
21	0.2779423424
22	0.2748794846
23	0.2716378344
24	0.2687985427
25	0.266349779
26	0.2636833269
27	0.2606369496
28	0.2579347042
29	0.2551320012
30	0.2528490743
31	0.2512250967
32	0.2490999131
33	0.2474526783
34	0.245681634
35	0.2436421623
36	0.241267424
37	0.2395805913
38	0.2376873829
39	0.2364945021
40	0.2349941559
41	0.2330027219
42	0.2312482271
43	0.2299723444
44	0.2281079006
45	0.2265456615
46	0.2252061738
47	0.2238178042
48	0.2222080239
49	0.2206032522
50	0.2190518098
51	0.2174974065
52	0.2161141954
53	0.2150870591
54	0.2139442661
55	0.212718295
56	0.2116031994
57	0.2104172329
58	0.2094894717
59	0.208568942
60	0.2073492965
61	0.2062604627
62	0.205294162
63	0.2044499443
64	0.2033501473
65	0.2024748867
66	0.2015545352
67	0.2007132611
68	0.1997979889
69	0.199055442
70	0.198202119
71	0.1973518515
72	0.1964215251
73	0.19546552
74	0.1948076658
75	0.1940400853
76	0.1931892875
77	0.1925909296
78	0.191692551
79	0.190982505
80	0.1904384782
81	0.189808973
82	0.1891534864
83	0.1883914218
84	0.1876031144
85	0.1868374542
86	0.1859629799
87	0.1852848671
88	0.1846639409
89	0.1840317791
90	0.1834158356
91	0.1828684679
92	0.1821728735
93	0.1815682643
94	0.1810822212
95	0.1807568333
96	0.1802302823
97	0.1795522895
98	0.1791116665
99	0.1786401536
100	0.1781276886
101	0.1777494633
102	0.1773448695
103	0.1768130018
104	0.1763512489
105	0.1758827803
106	0.1755251746
107	0.1751996471
108	0.1747436966
109	0.1741510525
110	0.1739019955
111	0.1735308817
112	0.1729338193
113	0.1726096117
114	0.1722085921
115	0.1717003262
116	0.1712052033
117	0.1708066168
118	0.1702537802
119	0.1696362899
120	0.1693133946
121	0.1690021956
122	0.1686814735
123	0.168407915
124	0.1679242232
125	0.1676020563
126	0.167142536
127	0.1666769526
128	0.1663629552
129	0.1659914696
130	0.1656536906
131	0.1652084337
132	0.1647753774
133	0.1644364056
134	0.163885703
135	0.1636511142
136	0.163355572
137	0.1630022901
138	0.1625547845
139	0.1621813735
140	0.1619620125
141	0.1615841139
142	0.1612360735
143	0.160985223
144	0.1604573232
145	0.1600678985
146	0.1598442277
147	0.1595222627
148	0.1592534167
149	0.1589898802
150	0.158719525
151	0.1584880959
152	0.1582202562
153	0.15801172
154	0.1575828674
155	0.1573591323
156	0.1568588971
157	0.1565697943
158	0.1562659363
159	0.155908619
160	0.1555786871
161	0.155245282
162	0.1549096478
163	0.1546884823
164	0.1544575048
165	0.1541205124
166	0.1537860949
167	0.153362698
168	0.1530264588
169	0.152869426
170	0.1524844665
171	0.1521280289
172	0.1518629229
173	0.1516134343
174	0.1515188702
175	0.151278632
176	0.1508683398
177	0.150603764
178	0.1503070127
179	0.1499579196
180	0.1495492302
181	0.1492505178
182	0.1488893116
183	0.1486306395
184	0.1484639689
185	0.1483099909
186	0.1481195078
187	0.1479303934
188	0.1477428476
189	0.1475150553
190	0.1471669255
191	0.1468092116
192	0.146353741
193	0.1461121641
194	0.1459219345
195	0.1457320082
196	0.1453745194
197	0.1451051149
198	0.1445919838
199	0.1443446731
200	0.1441956065
201	0.1438792446
202	0.1436287105
203	0.1434918449
204	0.143232146
205	0.1430037025
206	0.1426840429
207	0.1421997277
208	0.1417315471
209	0.141534461
210	0.1412962809
211	0.1411345755
212	0.1407547427
213	0.140558509
214	0.1403354
215	0.1400571434
216	0.1398779224
217	0.1396469734
218	0.1393475856
219	0.1390336906
220	0.1387310021
221	0.1385294353
222	0.1383423104
223	0.1381180292
224	0.1378751801
225	0.1375368122
226	0.1373287005
227	0.13719107
228	0.1370067247
229	0.136810939
230	0.1366029854
231	0.1364487805
232	0.1362370356
233	0.1360023853
234	0.1356969913
235	0.1354673351
236	0.1352013675
237	0.1349173981
238	0.1346829961
239	0.1342624468
240	0.1340943936
241	0.1339341499
242	0.1335343104
243	0.1331066339
244	0.1329130776
245	0.1326038268
246	0.1323046965
247	0.1320821706
248	0.1318818591
249	0.1316860032
250	0.1313934257
251	0.1311611018
252	0.1309903503
253	0.1307572669
254	0.1305475018
255	0.1303884402
256	0.1302252286
257	0.1300348653
258	0.1299011215
259	0.1295086688
260	0.1291691277
261	0.128877106
262	0.1286713105
263	0.1284319169
264	0.1282391659
265	0.1279172007
266	0.1277269404
267	0.1275424998
268	0.1274005094
269	0.1271208815
270	0.1269465132
271	0.1265351664
272	0.1264056086
273	0.126005451
274	0.1259095468
275	0.1257273242
276	0.1254404822
277	0.1251271308
278	0.1248761015
279	0.1246004363
280	0.1242276797
281	0.1240812778
282	0.1237858811
283	0.12358313
284	0.1234923524
285	0.1233427817
286	0.1230119681
287	0.1227430269
288	0.1225952704
289	0.1222109726
290	0.1220150561
291	0.1218787718
292	0.1216778728
293	0.1215165152
294	0.1212876829
295	0.1209388184
296	0.1206938821
297	0.1205114893
298	0.1203536467
299	0.1200389451
.1289090866
