iter	Passed	Remaining
0	0	168
1	0	142
2	1	133
3	1	115
4	1	116
5	2	122
6	3	126
7	3	126
8	3	123
9	4	122
10	4	123
11	5	124
12	5	123
13	5	120
14	6	121
15	6	121
16	7	122
17	7	122
18	8	119
19	8	119
20	9	121
21	9	120
22	10	121
23	10	121
24	11	122
25	11	121
26	11	120
27	12	119
28	12	119
29	13	117
30	13	117
31	13	115
32	14	115
33	14	114
34	15	113
35	15	112
36	15	112
37	16	111
38	16	110
39	16	109
40	17	109
41	17	108
42	18	108
43	18	107
44	18	106
45	19	106
46	19	105
47	20	105
48	20	104
49	20	104
50	21	104
51	22	105
52	22	104
53	22	104
54	23	104
55	23	103
56	24	102
57	24	102
58	25	102
59	25	102
60	26	102
61	26	102
62	27	101
63	27	101
64	27	100
65	28	100
66	28	99
67	29	98
68	29	98
69	29	97
70	30	97
71	30	97
72	30	96
73	31	95
74	31	95
75	32	94
76	32	94
77	32	93
78	33	93
79	33	92
80	34	92
81	34	91
82	34	91
83	35	90
84	35	90
85	36	90
86	36	89
87	36	89
88	37	88
89	37	88
90	38	87
91	38	88
92	39	88
93	39	87
94	40	86
95	40	86
96	41	86
97	41	85
98	41	84
99	42	84
100	42	83
101	42	83
102	43	82
103	43	81
104	43	81
105	44	81
106	44	80
107	45	80
108	45	79
109	45	79
110	46	78
111	46	78
112	47	77
113	47	77
114	47	76
115	48	76
116	48	75
117	48	75
118	49	74
119	49	74
120	50	74
121	51	74
122	52	74
123	52	74
124	53	74
125	53	74
126	54	74
127	54	73
128	55	73
129	55	72
130	56	72
131	56	71
132	56	71
133	57	70
134	57	70
135	58	70
136	58	69
137	58	69
138	59	68
139	59	68
140	60	68
141	60	67
142	61	67
143	61	66
144	61	66
145	62	65
146	62	65
147	63	64
148	63	64
149	63	63
150	64	63
151	64	62
152	65	63
153	66	63
154	67	63
155	68	63
156	69	63
157	70	62
158	70	62
159	70	61
160	71	61
161	71	61
162	72	60
163	72	60
164	72	59
165	73	59
166	73	58
167	74	58
168	74	57
169	75	57
170	75	56
171	75	56
172	76	56
173	76	55
174	76	54
175	77	54
176	77	53
177	78	53
178	78	52
179	78	52
180	79	52
181	79	51
182	79	51
183	80	50
184	80	50
185	81	49
186	81	49
187	81	48
188	82	48
189	82	47
190	82	47
191	83	46
192	83	46
193	84	46
194	84	45
195	84	45
196	85	44
197	85	44
198	86	43
199	86	43
200	86	42
201	87	42
202	87	41
203	87	41
204	88	40
205	88	40
206	88	39
207	89	39
208	89	38
209	89	38
210	90	37
211	90	37
212	90	37
213	91	36
214	91	36
215	91	35
216	92	35
217	92	34
218	92	34
219	93	33
220	93	33
221	94	33
222	94	32
223	94	32
224	95	31
225	95	31
226	95	30
227	96	30
228	96	29
229	96	29
230	96	28
231	97	28
232	97	28
233	97	27
234	98	27
235	98	26
236	99	26
237	99	25
238	99	25
239	100	25
240	100	24
241	100	24
242	101	23
243	101	23
244	101	22
245	102	22
246	102	21
247	102	21
248	103	21
249	103	20
250	103	20
251	104	19
252	104	19
253	104	18
254	105	18
255	105	18
256	105	17
257	106	17
258	106	16
259	106	16
260	106	15
261	107	15
262	107	15
263	108	14
264	108	14
265	108	13
266	109	13
267	109	13
268	109	12
269	110	12
270	110	11
271	111	11
272	111	11
273	111	10
274	112	10
275	112	9
276	112	9
277	113	8
278	113	8
279	113	8
280	114	7
281	114	7
282	114	6
283	115	6
284	115	6
285	115	5
286	116	5
287	116	4
288	116	4
289	116	4
290	117	3
291	117	3
292	117	2
293	118	2
294	118	2
295	118	1
296	119	1
297	119	0
298	119	0
299	120	0
	125	0
