iter	Passed	Remaining
0	2	627
1	3	473
2	9	966
3	11	818
4	12	708
5	13	640
6	14	604
7	15	557
8	17	567
9	19	562
10	20	531
11	21	504
12	21	483
13	22	462
14	23	445
15	24	428
16	25	430
17	26	418
18	27	407
19	28	397
20	29	390
21	30	382
22	31	374
23	31	367
24	34	380
25	35	374
26	36	368
27	37	361
28	37	354
29	38	347
30	39	342
31	40	338
32	41	334
33	42	330
34	43	326
35	44	323
36	44	318
37	45	315
38	46	312
39	47	310
40	48	306
41	49	303
42	50	300
43	50	296
44	51	293
45	52	290
46	53	287
47	54	284
48	55	282
49	55	279
50	56	277
51	57	274
52	58	271
53	59	270
54	60	268
55	61	265
56	62	264
57	62	262
58	63	259
59	64	257
60	65	255
61	66	253
62	66	251
63	67	249
64	68	247
65	69	245
66	70	243
67	70	241
68	71	239
69	72	237
70	73	236
71	74	234
72	74	233
73	75	231
74	76	229
75	77	228
76	78	226
77	79	224
78	79	223
79	80	221
80	81	220
81	82	218
82	83	217
83	83	215
84	84	214
85	85	212
86	86	211
87	87	209
88	87	208
89	88	205
90	89	204
91	89	203
92	90	201
93	91	200
94	92	199
95	93	198
96	94	196
97	94	195
98	95	194
99	96	192
100	97	191
101	98	190
102	98	189
103	99	187
104	100	186
105	101	185
106	102	184
107	102	182
108	103	181
109	104	180
110	105	179
111	106	178
112	106	176
113	107	175
114	108	174
115	109	172
116	109	171
117	110	170
118	111	169
119	112	168
120	112	166
121	113	165
122	114	164
123	115	163
124	115	162
125	116	161
126	117	160
127	118	158
128	119	158
129	120	157
130	121	156
131	121	155
132	122	154
133	123	152
134	124	151
135	124	150
136	125	149
137	126	148
138	127	147
139	128	146
140	128	145
141	129	144
142	130	143
143	131	141
144	131	140
145	132	139
146	133	138
147	134	137
148	135	136
149	136	136
150	137	135
151	137	134
152	138	133
153	139	132
154	140	131
155	141	130
156	141	129
157	142	128
158	143	127
159	144	126
160	144	125
161	145	123
162	146	122
163	146	121
164	147	120
165	148	119
166	149	118
167	149	117
168	150	116
169	151	115
170	152	114
171	153	113
172	153	113
173	154	112
174	155	111
175	156	110
176	156	109
177	157	108
178	158	107
179	159	106
180	159	105
181	160	104
182	161	103
183	161	102
184	162	101
185	163	100
186	164	99
187	164	98
188	165	97
189	166	96
190	167	95
191	167	94
192	168	93
193	169	92
194	170	91
195	171	90
196	171	89
197	172	88
198	173	87
199	174	87
200	174	86
201	175	85
202	176	84
203	176	83
204	177	82
205	178	81
206	179	80
207	179	79
208	180	78
209	181	77
210	181	76
211	182	75
212	183	74
213	184	74
214	185	73
215	186	72
216	186	71
217	187	70
218	188	69
219	189	68
220	190	68
221	191	67
222	191	66
223	192	65
224	193	64
225	194	63
226	195	62
227	196	61
228	196	61
229	197	60
230	198	59
231	199	58
232	200	57
233	201	56
234	202	55
235	202	55
236	203	54
237	204	53
238	205	52
239	206	51
240	206	50
241	207	49
242	208	48
243	209	48
244	209	47
245	210	46
246	211	45
247	212	44
248	213	43
249	214	42
250	215	42
251	216	41
252	216	40
253	217	39
254	218	38
255	219	37
256	220	36
257	220	35
258	221	35
259	222	34
260	223	33
261	223	32
262	224	31
263	225	30
264	226	29
265	227	29
266	228	28
267	228	27
268	229	26
269	230	25
270	231	24
271	231	23
272	232	23
273	233	22
274	234	21
275	235	20
276	235	19
277	236	18
278	237	17
279	238	17
280	238	16
281	239	15
282	240	14
283	241	13
284	242	12
285	243	11
286	244	11
287	245	10
288	245	9
289	246	8
290	247	7
291	248	6
292	249	5
293	249	5
294	250	4
295	251	3
296	252	2
297	252	1
298	253	0
299	254	0
