iter	RMSE
0	0.3932158217
1	0.3909034357
2	0.3887714711
3	0.3866280961
4	0.3843195294
5	0.3820523292
6	0.3800024727
7	0.3777132436
8	0.3756416853
9	0.373670262
10	0.3717081146
11	0.3696206057
12	0.3677714412
13	0.365651858
14	0.3636799595
15	0.3617465437
16	0.3597250522
17	0.3578806788
18	0.3558491124
19	0.3541076639
20	0.3522330215
21	0.3502775755
22	0.348387373
23	0.3465827197
24	0.3448716581
25	0.3429025045
26	0.3412813716
27	0.3397907183
28	0.338281
29	0.3365903579
30	0.3350611288
31	0.3334284145
32	0.3319969012
33	0.3306590234
34	0.3290489093
35	0.3274797421
36	0.3258506693
37	0.3242607833
38	0.3228279047
39	0.321413792
40	0.3200629504
41	0.3188179979
42	0.3173369419
43	0.3158105973
44	0.3144381098
45	0.3131230938
46	0.3118553911
47	0.3103944379
48	0.3090067125
49	0.3076829197
50	0.3065179124
51	0.3051458037
52	0.3038704041
53	0.3024915346
54	0.3013754683
55	0.3000893771
56	0.299050149
57	0.2979366964
58	0.2968287512
59	0.2956304546
60	0.2944823719
61	0.2932842036
62	0.2921628105
63	0.2911762853
64	0.2899467585
65	0.2887499628
66	0.2877915414
67	0.286663331
68	0.2854584696
69	0.2843027557
70	0.2832615213
71	0.2820971931
72	0.2812985081
73	0.2802331339
74	0.2792403575
75	0.2782513478
76	0.277279327
77	0.2765292514
78	0.275449739
79	0.2743697824
80	0.2733407824
81	0.2723893999
82	0.2713513542
83	0.2703463512
84	0.2694738114
85	0.2684822875
86	0.2676682523
87	0.2666697711
88	0.2658212773
89	0.2649648833
90	0.264071107
91	0.2632156141
92	0.2624016751
93	0.2616684636
94	0.2609395176
95	0.2602105869
96	0.2593570288
97	0.2585046082
98	0.2576811463
99	0.256958239
100	0.2562988679
101	0.2555599654
102	0.254831868
103	0.2541222702
104	0.2536486465
105	0.2529726519
106	0.2522543407
107	0.251533449
108	0.2509002414
109	0.2501051844
110	0.2493521494
111	0.248775935
112	0.2480989223
113	0.2474607812
114	0.24691064
115	0.2463437892
116	0.2457177355
117	0.2451428708
118	0.244546055
119	0.2439159328
120	0.2432579717
121	0.2427497984
122	0.2421622662
